f,d,h1,h2,TM,,,,,,,,,,,
0.6,367.3089,768.0343,154.9268,0.928400563,,,,,,,,,,,
0.6,367.3089,768.0343,160.9761,0.925900465,,,,,,,,,,,
0.6,367.3089,768.0343,194.0026,0.876664895,,,,,,,,,,,
0.6,367.3089,768.0343,199.4684,0.867386352,,,,,,,,,,,
0.6,367.3089,768.0343,199.9801,0.866569954,,,,,,,,,,,
0.6,367.3089,768.0701,70.4817,0.84658082,,,,,,,,,,,
0.6,367.3089,768.0701,83.0101,0.844975365,,,,,,,,,,,
0.6,367.3089,768.0701,97.452,0.856847976,,,,,,,,,,,
0.6,367.3089,768.0701,104.1585,0.86635508,,,,,,,,,,,
0.6,367.3089,768.0701,107.597,0.871896377,,,,,,,,,,,
0.6,367.3089,768.0701,154.9268,0.928406513,,,,,,,,,,,
0.6,367.3089,768.0701,160.9761,0.925906215,,,,,,,,,,,
0.6,367.3089,768.0701,194.0026,0.876673649,,,,,,,,,,,
0.6,367.3089,768.0701,199.4684,0.86741113,,,,,,,,,,,
0.6,367.3089,768.0701,199.9801,0.866585326,,,,,,,,,,,
0.6,367.3089,770.0427,70.4817,0.847976656,,,,,,,,,,,
0.6,367.3089,770.0427,83.0101,0.846884549,,,,,,,,,,,
0.6,367.3089,770.0427,97.452,0.859108531,,,,,,,,,,,
0.6,367.3089,770.0427,104.1585,0.868628038,,,,,,,,,,,
0.6,367.3089,770.0427,107.597,0.874138056,,,,,,,,,,,
0.6,367.3089,770.0427,154.9268,0.928771966,,,,,,,,,,,
0.6,367.3089,770.0427,160.9761,0.926109557,,,,,,,,,,,
0.6,367.3089,770.0427,194.0026,0.877138377,,,,,,,,,,,
0.6,367.3089,770.0427,199.4684,0.868058143,,,,,,,,,,,
0.6,367.3089,770.0427,199.9801,0.867264945,,,,,,,,,,,
0.6,367.3089,782.7278,70.4817,0.859103022,,,,,,,,,,,
0.6,367.3089,782.7278,83.0101,0.860772584,,,,,,,,,,,
0.6,367.3089,782.7278,97.452,0.873983981,,,,,,,,,,,
0.6,367.3089,782.7278,104.1585,0.882974672,,,,,,,,,,,
0.6,367.3089,782.7278,107.597,0.887993034,,,,,,,,,,,
0.6,367.3089,782.7278,154.9268,0.930335337,,,,,,,,,,,
0.6,367.3089,782.7278,160.9761,0.927154566,,,,,,,,,,,
0.6,367.3089,782.7278,194.0026,0.882063804,,,,,,,,,,,
0.6,367.3089,782.7278,199.4684,0.874430151,,,,,,,,,,,
0.6,367.3089,782.7278,199.9801,0.873773166,,,,,,,,,,,
0.6,367.3089,788.0052,70.4817,0.864765358,,,,,,,,,,,
0.6,367.3089,788.0052,83.0101,0.867148299,,,,,,,,,,,
0.6,367.3089,788.0052,97.452,0.880121661,,,,,,,,,,,
0.6,367.3089,788.0052,104.1585,0.888561842,,,,,,,,,,,
0.6,367.3089,788.0052,107.597,0.893183356,,,,,,,,,,,
0.6,367.3089,788.0052,154.9268,0.930844808,,,,,,,,,,,
0.6,367.3089,788.0052,160.9761,0.927692347,,,,,,,,,,,
0.6,367.3089,788.0052,194.0026,0.885174695,,,,,,,,,,,
0.6,367.3089,788.0052,199.4684,0.878189983,,,,,,,,,,,
0.6,367.3089,788.0052,199.9801,0.877590397,,,,,,,,,,,
0.6,367.3089,791.1283,70.4817,0.868323737,,,,,,,,,,,
0.6,367.3089,791.1283,83.0101,0.871013219,,,,,,,,,,,
0.6,367.3089,791.1283,97.452,0.883639739,,,,,,,,,,,
0.6,367.3089,791.1283,104.1585,0.891679393,,,,,,,,,,,
0.6,367.3089,791.1283,107.597,0.896043172,,,,,,,,,,,
0.6,367.3089,791.1283,154.9268,0.931171293,,,,,,,,,,,
0.6,367.3089,791.1283,160.9761,0.928111661,,,,,,,,,,,
0.6,367.3089,791.1283,194.0026,0.887334663,,,,,,,,,,,
0.6,367.3089,791.1283,199.4684,0.880740121,,,,,,,,,,,
0.6,367.3089,791.1283,199.9801,0.880187912,,,,,,,,,,,
0.6,367.3089,798.9367,70.4817,0.877800884,,,,,,,,,,,
0.6,367.3089,798.9367,83.0101,0.880704884,,,,,,,,,,,
0.6,367.3089,798.9367,97.452,0.891846593,,,,,,,,,,,
0.6,367.3089,798.9367,104.1585,0.898687652,,,,,,,,,,,
0.6,367.3089,798.9367,107.597,0.902360843,,,,,,,,,,,
0.6,367.3089,798.9367,154.9268,0.932240046,,,,,,,,,,,
0.6,367.3089,798.9367,160.9761,0.929589296,,,,,,,,,,,
0.6,367.3089,798.9367,194.0026,0.893697976,,,,,,,,,,,
0.6,367.3089,798.9367,199.4684,0.888020726,,,,,,,,,,,
0.6,367.3089,798.9367,199.9801,0.887551653,,,,,,,,,,,
0.6,367.3089,799.9602,70.4817,0.879096261,,,,,,,,,,,
0.6,367.3089,799.9602,83.0101,0.881954882,,,,,,,,,,,
0.6,367.3089,799.9602,97.452,0.892848167,,,,,,,,,,,
0.6,367.3089,799.9602,104.1585,0.899527893,,,,,,,,,,,
0.6,367.3089,799.9602,107.597,0.903093933,,,,,,,,,,,
0.6,367.3089,799.9602,154.9268,0.932418438,,,,,,,,,,,
0.6,367.3089,799.9602,160.9761,0.929847112,,,,,,,,,,,
0.6,367.3089,799.9602,194.0026,0.894628063,,,,,,,,,,,
0.6,367.3089,799.9602,199.4684,0.889082496,,,,,,,,,,,
0.6,367.3089,799.9602,199.9801,0.888624919,,,,,,,,,,,
0.6,384.0135,540.9634,70.4817,0.636568054,,,,,,,,,,,
0.6,384.0135,540.9634,83.0101,0.630479892,,,,,,,,,,,
0.6,384.0135,540.9634,97.452,0.634922082,,,,,,,,,,,
0.6,384.0135,540.9634,104.1585,0.640958375,,,,,,,,,,,
0.6,384.0135,540.9634,107.597,0.644868812,,,,,,,,,,,
0.6,384.0135,540.9634,154.9268,0.70230458,,,,,,,,,,,
0.6,384.0135,540.9634,160.9761,0.702640742,,,,,,,,,,,
0.6,384.0135,540.9634,194.0026,0.667315012,,,,,,,,,,,
0.6,384.0135,540.9634,199.4684,0.659006811,,,,,,,,,,,
0.6,384.0135,540.9634,199.9801,0.658246245,,,,,,,,,,,
0.6,384.0135,566.0202,70.4817,0.66381801,,,,,,,,,,,
0.6,384.0135,566.0202,83.0101,0.666237344,,,,,,,,,,,
0.6,384.0135,566.0202,97.452,0.680324644,,,,,,,,,,,
0.6,384.0135,566.0202,104.1585,0.689860311,,,,,,,,,,,
0.6,384.0135,566.0202,107.597,0.695162518,,,,,,,,,,,
0.6,384.0135,566.0202,154.9268,0.737609322,,,,,,,,,,,
0.6,384.0135,566.0202,160.9761,0.733365239,,,,,,,,,,,
0.6,384.0135,566.0202,194.0026,0.686210579,,,,,,,,,,,
0.6,384.0135,566.0202,199.4684,0.679038847,,,,,,,,,,,
0.6,384.0135,566.0202,199.9801,0.678424122,,,,,,,,,,,
0.6,384.0135,568.305,70.4817,0.667238805,,,,,,,,,,,
0.6,384.0135,568.305,83.0101,0.670470862,,,,,,,,,,,
0.6,384.0135,568.305,97.452,0.685179015,,,,,,,,,,,
0.6,384.0135,568.305,104.1585,0.694839246,,,,,,,,,,,
0.6,384.0135,568.305,107.597,0.700172793,,,,,,,,,,,
0.6,384.0135,568.305,154.9268,0.740259826,,,,,,,,,,,
0.6,384.0135,568.305,160.9761,0.735686468,,,,,,,,,,,
0.6,384.0135,568.305,194.0026,0.68843995,,,,,,,,,,,
0.6,384.0135,568.305,199.4684,0.681503487,,,,,,,,,,,
0.6,384.0135,568.305,199.9801,0.680919976,,,,,,,,,,,
0.6,384.0135,574.1881,70.4817,0.676823235,,,,,,,,,,,
0.6,384.0135,574.1881,83.0101,0.681987699,,,,,,,,,,,
0.6,384.0135,574.1881,97.452,0.698059466,,,,,,,,,,,
0.6,384.0135,574.1881,104.1585,0.707883225,,,,,,,,,,,
0.6,384.0135,574.1881,107.597,0.713155657,,,,,,,,,,,
0.6,384.0135,574.1881,154.9268,0.746764131,,,,,,,,,,,
0.6,384.0135,574.1881,160.9761,0.741486789,,,,,,,,,,,
0.6,384.0135,574.1881,194.0026,0.69472979,,,,,,,,,,,
0.6,384.0135,574.1881,199.4684,0.688541618,,,,,,,,,,,
0.6,384.0135,574.1881,199.9801,0.688034222,,,,,,,,,,,
0.6,384.0135,591.8038,70.4817,0.711829679,,,,,,,,,,,
0.6,384.0135,591.8038,83.0101,0.721089058,,,,,,,,,,,
0.6,384.0135,591.8038,97.452,0.738097212,,,,,,,,,,,
0.6,384.0135,591.8038,104.1585,0.746743743,,,,,,,,,,,
0.6,384.0135,591.8038,107.597,0.751037128,,,,,,,,,,,
0.6,384.0135,591.8038,154.9268,0.764674428,,,,,,,,,,,
0.6,384.0135,591.8038,160.9761,0.758515504,,,,,,,,,,,
0.6,384.0135,591.8038,194.0026,0.719473492,,,,,,,,,,,
0.6,384.0135,591.8038,199.4684,0.715922722,,,,,,,,,,,
0.6,384.0135,591.8038,199.9801,0.715685657,,,,,,,,,,,
0.6,384.0135,594.9041,70.4817,0.718819942,,,,,,,,,,,
0.6,384.0135,594.9041,83.0101,0.728435844,,,,,,,,,,,
0.6,384.0135,594.9041,97.452,0.745040197,,,,,,,,,,,
0.6,384.0135,594.9041,104.1585,0.753247239,,,,,,,,,,,
0.6,384.0135,594.9041,107.597,0.757274808,,,,,,,,,,,
0.6,384.0135,594.9041,154.9268,0.767792025,,,,,,,,,,,
0.6,384.0135,594.9041,160.9761,0.761691105,,,,,,,,,,,
0.6,384.0135,594.9041,194.0026,0.724796534,,,,,,,,,,,
0.6,384.0135,594.9041,199.4684,0.721741027,,,,,,,,,,,
0.6,384.0135,594.9041,199.9801,0.721545851,,,,,,,,,,,
0.6,384.0135,596.1558,70.4817,0.721690623,,,,,,,,,,,
0.6,384.0135,596.1558,83.0101,0.731405859,,,,,,,,,,,
0.6,384.0135,596.1558,97.452,0.747823757,,,,,,,,,,,
0.6,384.0135,596.1558,104.1585,0.755822201,,,,,,,,,,,
0.6,384.0135,596.1558,107.597,0.75973329,,,,,,,,,,,
0.6,384.0135,596.1558,154.9268,0.769054427,,,,,,,,,,,
0.6,384.0135,596.1558,160.9761,0.762985333,,,,,,,,,,,
0.6,384.0135,596.1558,194.0026,0.727011905,,,,,,,,,,,
0.6,384.0135,596.1558,199.4684,0.724170465,,,,,,,,,,,
0.6,384.0135,596.1558,199.9801,0.723961339,,,,,,,,,,,
0.6,384.0135,608.3169,70.4817,0.750703329,,,,,,,,,,,
0.6,384.0135,608.3169,83.0101,0.760199153,,,,,,,,,,,
0.6,384.0135,608.3169,97.452,0.773332578,,,,,,,,,,,
0.6,384.0135,608.3169,104.1585,0.77907084,,,,,,,,,,,
0.6,384.0135,608.3169,107.597,0.781740879,,,,,,,,,,,
0.6,384.0135,608.3169,154.9268,0.781884749,,,,,,,,,,,
0.6,384.0135,608.3169,160.9761,0.776631328,,,,,,,,,,,
0.6,384.0135,608.3169,194.0026,0.750916701,,,,,,,,,,,
0.6,384.0135,608.3169,199.4684,0.749815897,,,,,,,,,,,
0.6,384.0135,608.3169,199.9801,0.749767713,,,,,,,,,,,
0.6,384.0135,609.9244,70.4817,0.754603903,,,,,,,,,,,
0.6,384.0135,609.9244,83.0101,0.763903394,,,,,,,,,,,
0.6,384.0135,609.9244,97.452,0.776446146,,,,,,,,,,,
0.6,384.0135,609.9244,104.1585,0.781861375,,,,,,,,,,,
