f,d,h1,h2,T(1)
0.444,384.0135,689.3509,70.4817,0.76779525
0.444,384.0135,689.3509,83.0101,0.73020467
0.444,384.0135,689.3509,97.452,0.70142897
0.444,384.0135,689.3509,104.1585,0.694360484
0.444,384.0135,689.3509,107.597,0.692348665
0.444,384.0135,689.3509,154.9268,0.775772338
0.444,384.0135,689.3509,160.9761,0.796857713
0.444,384.0135,689.3509,194.0026,0.836655216
0.444,384.0135,689.3509,199.4684,0.824131088
0.444,384.0135,689.3509,199.9801,0.822752309
0.444,384.0135,692.6676,70.4817,0.752285367
0.444,384.0135,692.6676,83.0101,0.715057267
0.444,384.0135,692.6676,97.452,0.689742219
0.444,384.0135,692.6676,104.1585,0.685113728
0.444,384.0135,692.6676,107.597,0.68452952
0.444,384.0135,692.6676,154.9268,0.790151415
0.444,384.0135,692.6676,160.9761,0.811611535
0.444,384.0135,692.6676,194.0026,0.830944571
0.444,384.0135,692.6676,199.4684,0.814678474
0.444,384.0135,692.6676,199.9801,0.81299242
0.444,384.0135,701.542,70.4817,0.710480666
0.444,384.0135,701.542,83.0101,0.677783765
0.444,384.0135,701.542,97.452,0.663852008
0.444,384.0135,701.542,104.1585,0.666278418
0.444,384.0135,701.542,107.597,0.669694105
0.444,384.0135,701.542,154.9268,0.827433574
0.444,384.0135,701.542,160.9761,0.846161442
0.444,384.0135,701.542,194.0026,0.80430932
0.444,384.0135,701.542,199.4684,0.780816167
0.444,384.0135,701.542,199.9801,0.778580887
0.444,384.0135,704.0717,70.4817,0.698921839
0.444,384.0135,704.0717,83.0101,0.668204483
0.444,384.0135,704.0717,97.452,0.657976327
0.444,384.0135,704.0717,104.1585,0.662506623
0.444,384.0135,704.0717,107.597,0.667095235
0.444,384.0135,704.0717,154.9268,0.836965592
0.444,384.0135,704.0717,160.9761,0.853856501
0.444,384.0135,704.0717,194.0026,0.794386439
0.444,384.0135,704.0717,199.4684,0.769607414
0.444,384.0135,704.0717,199.9801,0.767288983
0.444,384.0135,709.8536,70.4817,0.673756156
0.444,384.0135,709.8536,83.0101,0.648510243
0.444,384.0135,709.8536,97.452,0.647119676
0.444,384.0135,709.8536,104.1585,0.656575182
0.444,384.0135,709.8536,107.597,0.663858975
0.444,384.0135,709.8536,154.9268,0.855350764
0.444,384.0135,709.8536,160.9761,0.866424757
0.444,384.0135,709.8536,194.0026,0.769231462
0.444,384.0135,709.8536,199.4684,0.742710505
0.444,384.0135,709.8536,199.9801,0.740300244
0.444,384.0135,712.8955,70.4817,0.661397347
0.444,384.0135,712.8955,83.0101,0.639395674
0.444,384.0135,712.8955,97.452,0.6428672
0.444,384.0135,712.8955,104.1585,0.65493407
0.444,384.0135,712.8955,107.597,0.663631615
0.444,384.0135,712.8955,154.9268,0.862590117
0.444,384.0135,712.8955,160.9761,0.869864407
0.444,384.0135,712.8955,194.0026,0.755100593
0.444,384.0135,712.8955,199.4684,0.728259006
0.444,384.0135,712.8955,199.9801,0.725849274
0.444,384.0135,721.9523,70.4817,0.628948654
0.444,384.0135,721.9523,83.0101,0.617717725
0.444,384.0135,721.9523,97.452,0.636067182
0.444,384.0135,721.9523,104.1585,0.655845466
0.444,384.0135,721.9523,107.597,0.66861958
0.444,384.0135,721.9523,154.9268,0.871595947
0.444,384.0135,721.9523,160.9761,0.866114445
0.444,384.0135,721.9523,194.0026,0.711961133
0.444,384.0135,721.9523,199.4684,0.686038795
0.444,384.0135,721.9523,199.9801,0.683788145
0.444,384.0135,752.8339,70.4817,0.577748642
0.444,384.0135,752.8339,83.0101,0.605253088
0.444,384.0135,752.8339,97.452,0.665949866
0.444,384.0135,752.8339,104.1585,0.701224838
0.444,384.0135,752.8339,107.597,0.719907001
0.444,384.0135,752.8339,154.9268,0.778598476
0.444,384.0135,752.8339,160.9761,0.749197743
0.444,384.0135,752.8339,194.0026,0.597262363
0.444,384.0135,752.8339,199.4684,0.584999155
0.444,384.0135,752.8339,199.9801,0.584102525
0.444,384.0135,768.0343,70.4817,0.584583757
0.444,384.0135,768.0343,83.0101,0.623386734
0.444,384.0135,768.0343,97.452,0.682668368
0.444,384.0135,768.0343,104.1585,0.709834475
0.444,384.0135,768.0343,107.597,0.722600459
0.444,384.0135,768.0343,154.9268,0.711204525
0.444,384.0135,768.0343,160.9761,0.683820827
0.444,384.0135,768.0343,194.0026,0.572501527
0.444,384.0135,768.0343,199.4684,0.568373731
0.444,384.0135,768.0343,199.9801,0.568229366
0.444,384.0135,768.0701,70.4817,0.584614923
0.444,384.0135,768.0701,83.0101,0.623423809
0.444,384.0135,768.0701,97.452,0.682683138
0.444,384.0135,768.0701,104.1585,0.709814738
0.444,384.0135,768.0701,107.597,0.722558682
0.444,384.0135,768.0701,154.9268,0.711063229
0.444,384.0135,768.0701,160.9761,0.683678249
0.444,384.0135,768.0701,194.0026,0.572467362
0.444,384.0135,768.0701,199.4684,0.568356808
0.444,384.0135,768.0701,199.9801,0.568216637
0.444,384.0135,770.0427,70.4817,0.586548049
0.444,384.0135,770.0427,83.0101,0.625789507
0.444,384.0135,770.0427,97.452,0.682955841
0.444,384.0135,770.0427,104.1585,0.708266678
0.444,384.0135,770.0427,107.597,0.719984927
0.444,384.0135,770.0427,154.9268,0.703058876
0.444,384.0135,770.0427,160.9761,0.676265975
0.444,384.0135,770.0427,194.0026,0.570900858
0.444,384.0135,770.0427,199.4684,0.567790757
0.444,384.0135,770.0427,199.9801,0.567736865
0.444,384.0135,782.7278,70.4817,0.600202307
0.444,384.0135,782.7278,83.0101,0.633847714
0.444,384.0135,782.7278,97.452,0.669289146
0.444,384.0135,782.7278,104.1585,0.682576237
0.444,384.0135,782.7278,107.597,0.688593003
0.444,384.0135,782.7278,154.9268,0.658039265
0.444,384.0135,782.7278,160.9761,0.636112545
