lambda (nm),n,alpha (deg),f,TE
1300,1.3,42,0.48,0.677257019
1300,1.3,42,0.5,0.663067726
1300,1.3,44,0.3,0.41863743
1300,1.3,44,0.32,0.410733927
1300,1.3,44,0.34,0.415750803
1300,1.3,44,0.36,0.434527356
1300,1.3,44,0.38,0.466320992
1300,1.3,44,0.4,0.507043881
1300,1.3,44,0.42,0.546948718
1300,1.3,44,0.44,0.570700112
1300,1.3,44,0.46,0.562683735
1300,1.3,44,0.48,0.515927667
1300,1.3,44,0.5,0.433017263
1300,1.3,46,0.3,0.324621157
1300,1.3,46,0.32,0.317782015
1300,1.3,46,0.34,0.32589336
1300,1.3,46,0.36,0.350369569
1300,1.3,46,0.38,0.38398892
1300,1.3,46,0.4,0.390743109
1300,1.3,46,0.42,0.310054467
1300,1.3,46,0.44,0.164945958
1300,1.3,46,0.46,0.052945195
1300,1.3,46,0.48,0.005494132
1300,1.3,46,0.5,0.014268346
1300,1.3,48,0.3,0.089235958
1300,1.3,48,0.32,0.004670034
1300,1.3,48,0.34,0.067726397
1300,1.3,48,0.36,0.103823554
1300,1.3,48,0.38,0.113224947
1300,1.3,48,0.4,0.116941585
1300,1.3,48,0.42,0.122208539
1300,1.3,48,0.44,0.132298308
1300,1.3,48,0.46,0.149209996
1300,1.3,48,0.48,0.1743997
1300,1.3,48,0.5,0.208109646
1300,1.3,50,0.3,0.20974128
1300,1.3,50,0.32,0.185714944
1300,1.3,50,0.34,0.167853345
1300,1.3,50,0.36,0.155683206
1300,1.3,50,0.38,0.14879395
1300,1.3,50,0.4,0.146978722
1300,1.3,50,0.42,0.150201269
1300,1.3,50,0.44,0.158551596
1300,1.3,50,0.46,0.171926627
1300,1.3,50,0.48,0.189786973
1300,1.3,50,0.5,0.210623906
1300,1.4,30,0.3,0.7505333
1300,1.4,30,0.32,0.729914083
1300,1.4,30,0.34,0.724392379
1300,1.4,30,0.36,0.733545479
1300,1.4,30,0.38,0.755757165
1300,1.4,30,0.4,0.788011526
1300,1.4,30,0.42,0.826117912
1300,1.4,30,0.44,0.864646586
1300,1.4,30,0.46,0.898235858
1300,1.4,30,0.48,0.92301154
1300,1.4,30,0.5,0.937510606
1300,1.4,32,0.3,0.747042758
1300,1.4,32,0.32,0.727240482
1300,1.4,32,0.34,0.722343541
1300,1.4,32,0.36,0.73186517
1300,1.4,32,0.38,0.754127559
1300,1.4,32,0.4,0.786035159
1300,1.4,32,0.42,0.823317781
1300,1.4,32,0.44,0.860556032
1300,1.4,32,0.46,0.892521302
1300,1.4,32,0.48,0.915580768
1300,1.4,32,0.5,0.928541233
1300,1.4,34,0.3,0.721844932
1300,1.4,34,0.32,0.703511694
1300,1.4,34,0.34,0.699889971
1300,1.4,34,0.36,0.710430116
1300,1.4,34,0.38,0.733396654
1300,1.4,34,0.4,0.765597634
1300,1.4,34,0.42,0.802606934
1300,1.4,34,0.44,0.838893107
1300,1.4,34,0.46,0.869236316
1300,1.4,34,0.48,0.8902121
1300,1.4,34,0.5,0.900985001
1300,1.4,36,0.3,0.676950718
1300,1.4,36,0.32,0.660660332
1300,1.4,36,0.34,0.658969866
1300,1.4,36,0.36,0.671258872
1300,1.4,36,0.38,0.695695653
1300,1.4,36,0.4,0.728877785
1300,1.4,36,0.42,0.765998253
1300,1.4,36,0.44,0.801132375
1300,1.4,36,0.46,0.828870126
1300,1.4,36,0.48,0.846033903
1300,1.4,36,0.5,0.852419379
1300,1.4,38,0.3,0.604621353
1300,1.4,38,0.32,0.591512076
1300,1.4,38,0.34,0.593809848
1300,1.4,38,0.36,0.610333467
1300,1.4,38,0.38,0.637902263
1300,1.4,38,0.4,0.670249346
1300,1.4,38,0.42,0.698243703
1300,1.4,38,0.44,0.711892861
1300,1.4,38,0.46,0.704602126
1300,1.4,38,0.48,0.67590712
1300,1.4,38,0.5,0.629968155
1300,1.4,40,0.3,0.555525666
1300,1.4,40,0.32,0.541789769
1300,1.4,40,0.34,0.541299501
1300,1.4,40,0.36,0.553736296
1300,1.4,40,0.38,0.57788767
1300,1.4,40,0.4,0.611309363
1300,1.4,40,0.42,0.650178844
1300,1.4,40,0.44,0.689323445
1300,1.4,40,0.46,0.723254669
1300,1.4,40,0.48,0.747780931
1300,1.4,40,0.5,0.761185403
1300,1.4,42,0.3,0.475241183
1300,1.4,42,0.32,0.464221463
1300,1.4,42,0.34,0.466710906
1300,1.4,42,0.36,0.482500593
1300,1.4,42,0.38,0.510363849
1300,1.4,42,0.4,0.547391816
1300,1.4,42,0.42,0.588505643
1300,1.4,42,0.44,0.626600519
1300,1.4,42,0.46,0.654320743
1300,1.4,42,0.48,0.666862555
1300,1.4,42,0.5,0.663347018
1300,1.4,44,0.3,0.392912193
1300,1.4,44,0.32,0.384098802
1300,1.4,44,0.34,0.389150927
1300,1.4,44,0.36,0.408264385
1300,1.4,44,0.38,0.44028729
1300,1.4,44,0.4,0.481107368
1300,1.4,44,0.42,0.521909011
1300,1.4,44,0.44,0.549160073
1300,1.4,44,0.46,0.548908444
1300,1.4,44,0.48,0.513092678
1300,1.4,44,0.5,0.439652903
1300,1.4,46,0.3,0.305100727
1300,1.4,46,0.32,0.297627137
1300,1.4,46,0.34,0.304971408
1300,1.4,46,0.36,0.327173531
1300,1.4,46,0.38,0.356248223
1300,1.4,46,0.4,0.360197875
1300,1.4,46,0.42,0.286326114
1300,1.4,46,0.44,0.14771626
1300,1.4,46,0.46,0.037405716
1300,1.4,46,0.48,0.001433332
1300,1.4,46,0.5,0.039791958
1300,1.4,48,0.3,0.0693449
1300,1.4,48,0.32,0.009625342
1300,1.4,48,0.34,0.070368864
1300,1.4,48,0.36,0.106711699
1300,1.4,48,0.38,0.119866686
1300,1.4,48,0.4,0.129083359
1300,1.4,48,0.42,0.141604402
1300,1.4,48,0.44,0.160997038
1300,1.4,48,0.46,0.189477221
1300,1.4,48,0.48,0.228318872
1300,1.4,48,0.5,0.276826181
1300,1.4,50,0.3,0.214487384
1300,1.4,50,0.32,0.190100172
1300,1.4,50,0.34,0.173498854
1300,1.4,50,0.36,0.163971066
1300,1.4,50,0.38,0.161067435
1300,1.4,50,0.4,0.164691378
1300,1.4,50,0.42,0.174956696
1300,1.4,50,0.44,0.192032555
1300,1.4,50,0.46,0.215747551
1300,1.4,50,0.48,0.245151988
1300,1.4,50,0.5,0.277997506
1300,1.5,30,0.3,0.66357934
1300,1.5,30,0.32,0.644834146
1300,1.5,30,0.34,0.643349234
1300,1.5,30,0.36,0.658020133
1300,1.5,30,0.38,0.686966344
1300,1.5,30,0.4,0.727091924
1300,1.5,30,0.42,0.774145656
1300,1.5,30,0.44,0.822560935
1300,1.5,30,0.46,0.866699012
1300,1.5,30,0.48,0.902508984
1300,1.5,30,0.5,0.928136938
1300,1.5,32,0.3,0.661353021
1300,1.5,32,0.32,0.643076891
