lambda,n,angle,h,TM
1300,1.4,60,3200,0.162467298
1300,1.4,60,3400,0.178760234
1300,1.4,60,3600,0.194865507
1300,1.4,60,3800,0.210258784
1300,1.4,60,4000,0.224251905
1300,1.4,62,2000,0.067367983
1300,1.4,62,2200,0.080857532
1300,1.4,62,2400,0.09530406
1300,1.4,62,2600,0.110071067
1300,1.4,62,2800,0.125277719
1300,1.4,62,3000,0.140846579
1300,1.4,62,3200,0.15594752
1300,1.4,62,3400,0.170315834
1300,1.4,62,3600,0.184099362
1300,1.4,62,3800,0.196711671
1300,1.4,62,4000,0.207264499
1300,1.4,64,2000,0.065714356
1300,1.4,64,2200,0.078849525
1300,1.4,64,2400,0.09281165
1300,1.4,64,2600,0.106890954
1300,1.4,64,2800,0.121197503
1300,1.4,64,3000,0.135599995
1300,1.4,64,3200,0.149100295
1300,1.4,64,3400,0.161338686
1300,1.4,64,3600,0.172553542
1300,1.4,64,3800,0.182197872
1300,1.4,64,4000,0.189203479
1300,1.4,66,2000,0.064090169
1300,1.4,66,2200,0.076895343
1300,1.4,66,2400,0.090375865
1300,1.4,66,2600,0.103726006
1300,1.4,66,2800,0.117053671
1300,1.4,66,3000,0.130210024
1300,1.4,66,3200,0.142034398
1300,1.4,66,3400,0.152020681
1300,1.4,66,3600,0.160510435
1300,1.4,66,3800,0.167114204
1300,1.4,66,4000,0.170665084
1300,1.4,68,2000,0.062500757
1300,1.4,68,2200,0.074998922
1300,1.4,68,2400,0.088007652
1300,1.4,68,2600,0.100598475
1300,1.4,68,2800,0.112876003
1300,1.4,68,3000,0.124719956
1300,1.4,68,3200,0.134841958
1300,1.4,68,3400,0.142548775
1300,1.4,68,3600,0.148270437
1300,1.4,68,3800,0.151877176
1300,1.4,68,4000,0.152229004
1300,1.4,70,2000,0.060931296
1300,1.4,70,2200,0.073139196
1300,1.4,70,2400,0.085689017
1300,1.4,70,2600,0.097503008
1300,1.4,70,2800,0.108673636
1300,1.4,70,3000,0.119156682
1300,1.4,70,3200,0.127594786
1300,1.4,70,3400,0.133088605
1300,1.4,70,3600,0.13612217
1300,1.4,70,3800,0.136889408
