lambda,n,angle,h,TE
1300,1.4,62,2000,0.531640978
1300,1.4,62,2200,0.558331742
1300,1.4,62,2400,0.565163539
1300,1.4,62,2600,0.549615159
1300,1.4,62,2800,0.516528027
1300,1.4,62,3000,0.469006438
1300,1.4,62,3200,0.408746803
1300,1.4,62,3400,0.340056108
1300,1.4,62,3600,0.268356013
1300,1.4,62,3800,0.198545433
1300,1.4,62,4000,0.134831023
1300,1.4,64,2000,0.501427178
1300,1.4,64,2200,0.517408856
1300,1.4,64,2400,0.51362324
1300,1.4,64,2600,0.487747457
1300,1.4,64,2800,0.445204135
1300,1.4,64,3000,0.390539496
1300,1.4,64,3200,0.32662868
1300,1.4,64,3400,0.258043182
1300,1.4,64,3600,0.190309195
1300,1.4,64,3800,0.128433768
1300,1.4,64,4000,0.076264992
1300,1.4,66,2000,0.471189589
1300,1.4,66,2200,0.476970822
1300,1.4,66,2400,0.463588253
1300,1.4,66,2600,0.429072111
1300,1.4,66,2800,0.379233382
1300,1.4,66,3000,0.319878259
1300,1.4,66,3200,0.255007117
1300,1.4,66,3400,0.189356725
1300,1.4,66,3600,0.12824147
1300,1.4,66,3800,0.076362732
1300,1.4,66,4000,0.036891872
1300,1.4,68,2000,0.441386121
1300,1.4,68,2200,0.437725002
1300,1.4,68,2400,0.415943093
1300,1.4,68,2600,0.374583645
1300,1.4,68,2800,0.319674896
1300,1.4,68,3000,0.258008948
1300,1.4,68,3200,0.19453807
1300,1.4,68,3400,0.134036559
1300,1.4,68,3600,0.081331929
1300,1.4,68,3800,0.040454132
1300,1.4,68,4000,0.01362592
1300,1.4,70,2000,0.412327635
1300,1.4,70,2200,0.400186124
1300,1.4,70,2400,0.371311243
1300,1.4,70,2600,0.324895356
1300,1.4,70,2800,0.267040166
1300,1.4,70,3000,0.205204545
1300,1.4,70,3200,0.145035941
1300,1.4,70,3400,0.09119142
1300,1.4,70,3600,0.047793906
1300,1.4,70,3800,0.017932767
1300,1.4,70,4000,0.002703049
1300,1.5,50,2000,0.84451136
1300,1.5,50,2200,0.910537969
1300,1.5,50,2400,0.950515519
1300,1.5,50,2600,0.963510668
1300,1.5,50,2800,0.948214268
1300,1.5,50,3000,0.904862429
1300,1.5,50,3200,0.836825265
1300,1.5,50,3400,0.748198216
1300,1.5,50,3600,0.643755726
1300,1.5,50,3800,0.529765697
1300,1.5,50,4000,0.413234108
1300,1.5,52,2000,0.82662337
1300,1.5,52,2200,0.886039416
1300,1.5,52,2400,0.918032942
1300,1.5,52,2600,0.923073555
1300,1.5,52,2800,0.900078907
1300,1.5,52,3000,0.849316609
1300,1.5,52,3200,0.775142026
1300,1.5,52,3400,0.682330256
1300,1.5,52,3600,0.575952366
1300,1.5,52,3800,0.462648056
1300,1.5,52,4000,0.349721339
1300,1.5,54,2000,0.803156665
1300,1.5,54,2200,0.854052123
1300,1.5,54,2400,0.875966241
1300,1.5,54,2600,0.870938747
1300,1.5,54,2800,0.838467795
1300,1.5,54,3000,0.77901185
1300,1.5,54,3200,0.697942743
1300,1.5,54,3400,0.600939349
1300,1.5,54,3600,0.493543549
1300,1.5,54,3800,0.382712362
1300,1.5,54,4000,0.275960496
1300,1.5,56,2000,0.775123096
1300,1.5,56,2200,0.816159643
