lambda (nm),n,alpha (deg),f,TM
1300,1.4,30,0.44,0.95952926
1300,1.4,30,0.46,0.964438538
1300,1.4,30,0.48,0.967138777
1300,1.4,30,0.5,0.968878626
1300,1.4,32,0.3,0.657790365
1300,1.4,32,0.32,0.740245166
1300,1.4,32,0.34,0.809903583
1300,1.4,32,0.36,0.864609072
1300,1.4,32,0.38,0.904511168
1300,1.4,32,0.4,0.931389274
1300,1.4,32,0.42,0.948089459
1300,1.4,32,0.44,0.957682553
1300,1.4,32,0.46,0.962831337
1300,1.4,32,0.48,0.965648007
1300,1.4,32,0.5,0.967399101
1300,1.4,34,0.3,0.641123738
1300,1.4,34,0.32,0.72222897
1300,1.4,34,0.34,0.791103442
1300,1.4,34,0.36,0.845507039
1300,1.4,34,0.38,0.885463665
1300,1.4,34,0.4,0.912609459
1300,1.4,34,0.42,0.929617184
1300,1.4,34,0.44,0.939476543
1300,1.4,34,0.46,0.94480193
1300,1.4,34,0.48,0.947692588
1300,1.4,34,0.5,0.949434503
1300,1.4,36,0.3,0.613890256
1300,1.4,36,0.32,0.692394053
1300,1.4,36,0.34,0.759465407
1300,1.4,36,0.36,0.812810903
1300,1.4,36,0.38,0.852293858
1300,1.4,36,0.4,0.879361949
1300,1.4,36,0.42,0.896456287
1300,1.4,36,0.44,0.906438472
1300,1.4,36,0.46,0.9118401
1300,1.4,36,0.48,0.914730474
1300,1.4,36,0.5,0.9164173
1300,1.4,38,0.3,0.578033526
1300,1.4,38,0.32,0.652788828
1300,1.4,38,0.34,0.717074998
1300,1.4,38,0.36,0.768586258
1300,1.4,38,0.38,0.807010526
1300,1.4,38,0.4,0.833577308
1300,1.4,38,0.42,0.850453375
1300,1.4,38,0.44,0.860329241
1300,1.4,38,0.46,0.865622446
1300,1.4,38,0.48,0.868354962
1300,1.4,38,0.5,0.86986516
1300,1.4,40,0.3,0.535827019
1300,1.4,40,0.32,0.605717368
1300,1.4,40,0.34,0.66617463
1300,1.4,40,0.36,0.714930034
1300,1.4,40,0.38,0.751501257
1300,1.4,40,0.4,0.776882368
1300,1.4,40,0.42,0.792931809
1300,1.4,40,0.44,0.802117434
1300,1.4,40,0.46,0.806701152
1300,1.4,40,0.48,0.808623446
1300,1.4,40,0.5,0.809272499
1300,1.4,42,0.3,0.491948818
1300,1.4,42,0.32,0.553974737
1300,1.4,42,0.34,0.606220836
1300,1.4,42,0.36,0.645108568
1300,1.4,42,0.38,0.66548716
1300,1.4,42,0.4,0.644426677
1300,1.4,42,0.42,0.174566178
1300,1.4,42,0.44,0.743746163
1300,1.4,42,0.46,0.769591726
1300,1.4,42,0.48,0.768513912
1300,1.4,42,0.5,0.765055037
1300,1.4,44,0.3,0.433165536
1300,1.4,44,0.32,0.494896598
1300,1.4,44,0.34,0.549355356
1300,1.4,44,0.36,0.594283338
1300,1.4,44,0.38,0.628798652
1300,1.4,44,0.4,0.653400855
1300,1.4,44,0.42,0.669361416
1300,1.4,44,0.44,0.678722397
1300,1.4,44,0.46,0.683361873
1300,1.4,44,0.48,0.68497089
1300,1.4,44,0.5,0.684618777
1300,1.4,46,0.3,0.383940869
1300,1.4,46,0.32,0.43862377
1300,1.4,46,0.34,0.487323973
1300,1.4,46,0.36,0.527953671
1300,1.4,46,0.38,0.559506622
1300,1.4,46,0.4,0.582198535
1300,1.4,46,0.42,0.596925152
1300,1.4,46,0.44,0.605367971
1300,1.4,46,0.46,0.609111792
1300,1.4,46,0.48,0.609587351
1300,1.4,46,0.5,0.607625183
1300,1.4,48,0.3,0.3337097
1300,1.4,48,0.32,0.382130907
1300,1.4,48,0.34,0.425671474
1300,1.4,48,0.36,0.462408807
1300,1.4,48,0.38,0.491237349
1300,1.4,48,0.4,0.512099533
1300,1.4,48,0.42,0.525505399
1300,1.4,48,0.44,0.532685805
1300,1.4,48,0.46,0.534703676
1300,1.4,48,0.48,0.532171151
1300,1.4,48,0.5,0.523983803
1300,1.4,50,0.3,0.285193949
1300,1.4,50,0.32,0.327590584
1300,1.4,50,0.34,0.366156183
1300,1.4,50,0.36,0.399155901
1300,1.4,50,0.38,0.425407887
1300,1.4,50,0.4,0.444529226
1300,1.4,50,0.42,0.456448136
1300,1.4,50,0.44,0.461262497
1300,1.4,50,0.46,0.45687708
1300,1.4,50,0.48,0.425812211
1300,1.4,50,0.5,0.08434969
1300,1.5,30,0.3,0.711097154
1300,1.5,30,0.32,0.792470036
1300,1.5,30,0.34,0.857264932
1300,1.5,30,0.36,0.904400995
1300,1.5,30,0.38,0.93540387
1300,1.5,30,0.4,0.953494878
1300,1.5,30,0.42,0.962557751
1300,1.5,30,0.44,0.966166939
1300,1.5,30,0.46,0.967080352
1300,1.5,30,0.48,0.967388701
1300,1.5,30,0.5,0.96817884
1300,1.5,32,0.3,0.706866311
1300,1.5,32,0.32,0.788421848
1300,1.5,32,0.34,0.853641743
1300,1.5,32,0.36,0.901318072
1300,1.5,32,0.38,0.932876395
1300,1.5,32,0.4,0.951450527
1300,1.5,32,0.42,0.960863317
1300,1.5,32,0.44,0.964670526
1300,1.5,32,0.46,0.965647952
1300,1.5,32,0.48,0.965906282
1300,1.5,32,0.5,0.966568916
1300,1.5,34,0.3,0.690442654
1300,1.5,34,0.32,0.771031941
